poi_id,name,missing_fields
OSM0660,ICB Islamic Bank,phone
OSM0661,27 Number,"address, phone"
OSM0662,EBL,"address, phone"
OSM0663,Modhumoti Bank Ltf,"address, phone"
OSM0664,Tokyo Express,"address, phone"
OSM0665,NRB Bank,"address, phone"
OSM0666,Bangladesh Eye Hospital,phone
OSM0667,Confide Dental Care,phone
OSM0668,IBN SINA HOSPITAL,phone
OSM0669,Al Noor Pharmacy,phone
OSM0670,Seba Pharmacy And Departmental Store,phone
OSM0671,Cresent Dental Care,phone
OSM0672,Popular Pharmacy,phone
OSM0673,Allahor Dan Pharmacy,phone
OSM0674,Talukdar Medicare,phone
OSM0675,New Life Pharma,phone
OSM0676,Prostho Dental Implant Center,phone
OSM0677,Opian Dental Care,phone
OSM0678,Farabi General Hospital,phone
OSM0679,Next Generation Dental Center,phone
OSM0680,Dental Solution,phone
OSM0681,United Oro-Dental & Maxillofacia Surgery,phone
OSM0682,Ahmed Medicine,phone
OSM0683,Avenue Dental Care,phone
OSM0684,Sukrabad High School,"address, phone"
OSM0685,AB Bank Atm,"address, phone"
OSM0686,Bank Asia,phone
OSM0687,West Raja Bazar Kacha Bazar,"address, phone"
OSM0688,Himu's Mekover Beauty Parlor,"address, phone"
OSM0689,Pubali Bank Ltd,"address, phone"
OSM0690,Sukrabad Kacha Bazar,"address, phone"
OSM0692,Device & Gadget,phone
OSM0693,Bismillah General Store,phone
OSM0695,Russel Store,phone
OSM0696,OLI Tea Store,phone
OSM0697,Janani General Store,phone
OSM0698,Baitul Afsar Jame Mosjid,"address, phone"
OSM0699,Ittyadi Store,"address, phone"
OSM0700,ChayaNir,"address, phone"
OSM0701,EBL 365,"address, phone"
OSM0703,Ibn Sina Pharmacy,phone
OSM0704,Unimart,"address, phone"
OSM0705,Wellbeing Pharmacy,address
OSM0706,Islam Pharma,phone
OSM0715,bKash / Rocket Agent,"address, phone"
OSM0716,Ashar Alo General Store,"address, phone"
OSM0717,Departmental Store,"address, phone"
OSM0724,Aver Life,phone
OSM0725,cycle,"address, phone"
OSM0726,Enayet Jame Masjid,phone
OSM0729,Kikabe,phone
OSM0730,Tsunami Restora,phone
OSM0731,Sonali Bazar,phone
OSM0732,Harun Pan Shop,phone
OSM0733,Islam Store,phone
OSM0737,Kabab Karigor,"address, phone"
OSM0739,IBBL ATM,phone
OSM0740,Cafe Sun,phone
OSM0741,Jubayer Leather,phone
OSM0742,IFIC Bank,phone
OSM0743,NRBC Bank,phone
OSM0744,Razzaq Store,phone
OSM0745,Public Toilet,"address, phone"
OSM0746,Mukti Cinema Hall,phone
OSM0747,Western Money Union,phone
OSM0748,Simanta Bank Ltd,phone
OSM0749,Standard Chartered Bank,phone
OSM0750,Money Express,phone
OSM0751,Western Money Union,phone
OSM0752,Chittagong Confectionery,phone
OSM0753,CP Five Star,phone
OSM0754,EBL 365,phone
OSM0755,Al Arabian,phone
OSM0756,Bikrampur Mishtanno Bhandar,phone
OSM0757,Apon Ghar,phone
OSM0758,Aftab Restaurant,phone
OSM0759,Aid Japan Pharmacy,phone
OSM0760,Hi Tech,phone
OSM0761,Hatil,phone
OSM0762,Banoful,phone
OSM0763,Ahmed Pharmacy,phone
OSM0764,Rain Medical,phone
OSM0765,One Cafe,phone
OSM0766,Hot Cake,phone
OSM0767,Stylen,phone
OSM0768,Cosy Corner Saloon,phone
OSM0769,Midland Bank,phone
OSM0770,Zaara's Beauty,phone
OSM0771,Muslim Sweets,phone
OSM0772,Fuji Photo Studio,phone
OSM0773,Modhuban,phone
OSM0774,Brac Bank ATM,phone
OSM0775,Trust Bank,phone
OSM0776,Ros,phone
OSM0777,2.0 Cafe,phone
OSM0778,Kornafuli Gift House,phone
OSM0779,Dark,phone
OSM0780,Sbarro,phone
OSM0781,Olympia Palace,phone
OSM0782,EBL 365,phone
OSM0783,Shawrma Kng,phone
OSM0784,Handi,phone
OSM0785,Eastern Bank,phone
OSM0786,NRB Bank,phone
OSM0787,Bangladesh Skill Development Institute,phone
OSM0788,Saham Sweets & Foods,phone
OSM0789,K Kraft,phone
OSM0790,Hot Hut,phone
OSM0791,7-Eleven,phone
OSM0792,Nagardola,phone
OSM0793,Chetzy,phone
OSM0794,Artifacts,phone
OSM0795,Boi Bazar,phone
OSM0796,Anjan's,phone
OSM0797,Coffee House,phone
OSM0798,Antique Lamp & Gift Shop,phone
OSM0799,Sonargaon,phone
OSM0800,SoulTime,phone
OSM0801,Memory,phone
OSM0802,Khazana,phone
OSM0803,DBBL,phone
OSM0804,Youngkay,phone
OSM0805,Saccha Store,phone
OSM0806,Mirja Money Exchange,phone
OSM0807,Monerekho Sareej,phone
OSM0809,Niramoy Medical Hall,phone
OSM0811,Usha Pharmacy,address
OSM0812,Khadija Pre-Cadet & High School,phone
OSM0813,Ahona Pharmacy,phone
OSM0814,Manikgong Pharmacy,phone
OSM0815,Frends Restaurant,"address, phone"
OSM0816,KFC,phone
OSM0818,Oishi Beauty Parlours,"address, phone"
OSM0819,Dr. Shariful Alam,"address, phone"
OSM0820,University Women's Federation College,"address, phone"
OSM0821,Singer Pro,"address, phone"
OSM0822,Thyroid Centre,"address, phone"
OSM0823,Perfection,"address, phone"
OSM0824,Dr. Md. Abu Hanif,"address, phone"
OSM0825,Prime Pharma,"address, phone"
OSM0826,Hair Look Saloon,"address, phone"
OSM0827,Sudin Dentals,"address, phone"
OSM0828,New Mukta Clinic,"address, phone"
OSM0829,DBBL,"address, phone"
OSM0831,Khushal,"address, phone"
OSM0832,Shiuli Store,"address, phone"
OSM0833,Fuji Colour,"address, phone"
OSM0834,Jewel Vision,"address, phone"
OSM0835,Iva Garments,"address, phone"
OSM0836,Bashati,"address, phone"
OSM0837,Mr. baker,"address, phone"
OSM0838,Bombay Centre,"address, phone"
OSM0839,Plus Point,"address, phone"
OSM0840,Raymond,"address, phone"
OSM0841,Bang,"address, phone"
